,tweet_id,task_1,full_tweet,tweet_raw_text,hashtags,smiley,emoji,url,mentions,numerals,reserved_word,emotext,segmented_hash
10,10,NOT,"Madam,Bahut sochsamajhkr Mai ESS tarq pe purey42mahino mei pahucha hoon k Asli wajah ""MUSLIM Hatred""hai Jo kabi,Partition,RamTemple,GauMata,BharatMaataKiJai, VandeMatram, Raastragan, Pak Premi,Gaddaar,Bachche jyada ,5Bibiya25Bachche k safar tai karte Huey TAJMAHAL p jake atka hai","Madam,Bahut sochsamajhkr Mai ESS tarq pe purey42mahino mei pahucha hoon k Asli wajah ""MUSLIM Hatred""hai Jo kabi,Partition,RamTemple,GauMata,BharatMaataKiJai, VandeMatram, Raastragan, Pak Premi,Gaddaar,Bachche jyada ,5Bibiya25Bachche k safar tai karte Huey TAJMAHAL p jake atka hai",[],[],[],[],[],[],[],[],[]
11,11,HOF,I hate sapna yaar Coz khud ko toh chalana aati nae aur hum agar tez chalaenge toh tokna shru  dheere se chalao .....  https://twitter.com/znb_abbasi/status/929388980965203968 …,I hate sapna yaar Coz khud ko toh chalana aati nae aur hum agar tez chalaenge toh tokna shru dheere se chalao .....,[],[],[],['https://twitter.com/znb_abbasi/status/929388980965203968'],[],[],[],[],[]
12,12,NOT,"Ha rem  """" emoji I hate this emoji! Mujhe nagini ki hi yaad aati Hai","Ha rem """" emoji I hate this emoji! Mujhe nagini ki hi yaad aati Hai",[],[],[],[],[],[],[],[],[]
13,13,HOF,Hate heena..... too much irritating n bat karne ka tamiz nhi hai unme....sab ko insult karna ati hai unko.....bas aur kuch nhi ati hai.....bohot insecure hai wo ladki....,Hate heena..... too much irritating n bat karne ka tamiz nhi hai unme....sab ko insult karna ati hai unko.....bas aur kuch nhi ati hai.....bohot insecure hai wo ladki....,[],[],[],[],[],[],[],[],[]
14,14,NOT,Sir apki fav kon hai iss seasn mai??,Sir apki fav kon hai iss seasn mai??,[],[],[],[],[],[],[],[],[]
15,15,NOT,Mehanat to school me copy karke likhne me b lagti hai fir illegal kyu? Atanki ko b lagti hai fir nafrat kyu? Paise lekar ghar ki aurato ka smman bech doge kya paise aur mehanat ke liye aap?,Mehanat to school me copy karke likhne me b lagti hai fir illegal kyu? Atanki ko b lagti hai fir nafrat kyu? Paise lekar ghar ki aurato ka smman bech doge kya paise aur mehanat ke liye aap?,[],[],[],[],[],[],[],[],[]
16,16,NOT,"Ladla wo hay jo fard jurm kay bad bhi girftar nahi hota, money trail nahi deta aur saza nahi milti, 14 murder karta hay aur phansi nahi lagti.","Ladla wo hay jo fard jurm kay bad bhi girftar nahi hota, money trail nahi deta aur saza nahi milti, murder karta hay aur phansi nahi lagti.",[],[],[],[],[],[' 14'],[],[],[]
17,17,NOT,aur ye barun ka comeback show tha. koi q nahi dekhna chahega? lekin fir b nahi dekh paye... mai shivani ko q hate karu? muze uski acting nahi achchi lagi. jo muze laga wo maine kaha. wo mera opinion hai.,aur ye barun ka comeback show tha. koi q nahi dekhna chahega? lekin fir b nahi dekh paye... mai shivani ko q hate karu? muze uski acting nahi achchi lagi. jo muze laga wo maine kaha. wo mera opinion hai.,[],[],[],[],[],[],[],[],[]
18,18,NOT,Sir ji ab ye possible nahi hai bahut nafrat hai dono or ab ek hi rasta hai sarhad ke lakir ko mita kar hi ye khatam ho sakta hai jinna sahab to mar gaye or neharu ji bhi ab fir se ek kartay hai dono mulk ko @chintskap akhand bharat ek bharathttps://twitter.com/chintskap/status/929429458188091392 …,Sir ji ab ye possible nahi hai bahut nafrat hai dono or ab ek hi rasta hai sarhad ke lakir ko mita kar hi ye khatam ho sakta hai jinna sahab to mar gaye or neharu ji bhi ab fir se ek kartay hai dono mulk ko akhand bharat ek bharat,[],[],[],['https://twitter.com/chintskap/status/929429458188091392'],['@chintskap'],[],[],[],[]
19,19,HOF,"Code phatta hai toh phatne do, Mujhe project se nafrat ho gayi hai, Mujhe development team se hatne do","Code phatta hai toh phatne do, Mujhe project se nafrat ho gayi hai, Mujhe development team se hatne do",[],[],[],[],[],[],[],[],[]
20,20,HOF,Arsi bahar jani chahiye.... I hate arsi khan,Arsi bahar jani chahiye.... I hate arsi khan,[],[],[],[],[],[],[],[],[]
21,21,NOT,Achha bta diya hum n show hi nhi dekha tha. Khbri krta kuch ni sirf mAA bnta h kr hina ko hate.,Achha bta diya hum n show hi nhi dekha tha. Khbri krta kuch ni sirf mAA bnta h kr hina ko hate.,[],[],[],[],[],[],[],[],[]
22,22,HOF,"Karachi say agencies panjabi, pathano ko qatal kerkay onki lashain gaoon bhaijti hain takey mohajiro kaykhilaf nafrat paida ho","Karachi say agencies panjabi, pathano ko qatal kerkay onki lashain gaoon bhaijti hain takey mohajiro kaykhilaf nafrat paida ho",[],[],[],[],[],[],[],[],[]
23,23,NOT,Kaahe ke Hindu bhamhanwadi se nafrat hai bus,Kaahe ke Hindu bhamhanwadi se nafrat hai bus,[],[],[],[],[],[],[],[],[]
24,24,NOT,aj arshi ne jo laat eske pichwade mei mari thi wo photo twit kro bhai juldi se.,aj arshi ne jo laat eske pichwade mei mari thi wo photo twit kro bhai juldi se.,[],[],[],[],[],[],[],[],[]
25,25,NOT,Ar tag kro ki kon-kon esh hyena ko munh mei haddi dalna chahta h ya laat marna arshi ki trh.,Ar tag kro ki kon-kon esh hyena ko munh mei haddi dalna chahta h ya laat marna arshi ki trh.,[],[],[],[],[],[],[],[],[]
26,26,NOT,Gf khoon peene k liye hoti hai aur apne babu ko thana thilane k liye bas,Gf khoon peene k liye hoti hai aur apne babu ko thana thilane k liye bas,[],[],[],[],[],[],[],[],[]
27,27,HOF,Haa bhai. Ye chutiye log ki hatred apni liye milan ki bela ban k aayi hai. Lets screw this haters!! @addiadn1989 #WeSupportPadmavati,Haa bhai. Ye chutiye log ki hatred apni liye milan ki bela ban k aayi hai. Lets screw this haters!!,['#WeSupportPadmavati'],[],[],[],['@addiadn1989'],[],[],[],['we support padmavati']
28,28,NOT,Abe bigg boss show me baki contestants bhi hai un se related news deta nhi...sirf sari updates hina se related deta hai...wo bhi hate wali...khabari hai bakri chabar chabar karta rehta hina k bare me,Abe bigg boss show me baki contestants bhi hai un se related news deta nhi...sirf sari updates hina se related deta hai...wo bhi hate wali...khabari hai bakri chabar chabar karta rehta hina k bare me,[],[],[],[],[],[],[],[],[]
29,29,NOT,Stone Miracle of Hazrat Imam Hussain (RA) | Wo Pathar Jis Se Abhi Tak Khoon Behta Hai: http://youtu.be/9Kh_U6kZmqM?a  via @YouTube,Stone Miracle of Hazrat Imam Hussain (RA) | Wo Pathar Jis Se Abhi Tak Khoon Behta Hai: via,[],[],[],['http://youtu.be/9Kh_U6kZmqM?a'],['@YouTube'],[],[],[],[]
30,30,NOT,Pappu ka ye saja phansi se kam nahi,Pappu ka ye saja phansi se kam nahi,[],[],[],[],[],[],[],[],[]
31,31,NOT,Sir phansi nahi. .. sirf looted money wapas chaiya,Sir phansi nahi. .. sirf looted money wapas chaiya,[],[],[],[],[],[],[],[],[]
32,32,HOF,"Bhai, ye log honour killing mein vishwas rakhne walo me se hain, khud dusri ki beheno ko din raat chedege, kisine inki behen pe tippani bhi kardi toh murder vegere ki dhamki dete hain","Bhai, ye log honour killing mein vishwas rakhne walo me se hain, khud dusri ki beheno ko din raat chedege, kisine inki behen pe tippani bhi kardi toh murder vegere ki dhamki dete hain",[],[],[],[],[],[],[],[],[]
33,33,NOT,Aap log kabhi America ki dalali karto kabhi nafrat,Aap log kabhi America ki dalali karto kabhi nafrat,[],[],[],[],[],[],[],[],[]
34,34,NOT,Agar isse love kehte toh hum jo karte usse kya hate?  @ChawalaRiya @Yashika12_K9https://twitter.com/DrrrSanket/status/928631679995879424 …,Agar isse love kehte toh hum jo karte usse kya hate? ://,[],[],[],['https://twitter.com/DrrrSanket/status/928631679995879424'],"['@ChawalaRiya', '@Yashika12_K9https']",[],[],[],[]
35,35,NOT,bc pehli baar kisne hail hitler kaha hai nahi toh #adolfhitler ko sab sadakchaap wala gaaliyan dete hai,bc pehli baar kisne hail hitler kaha hai nahi toh ko sab sadakchaap wala gaaliyan dete hai,['#adolfhitler'],[],[],[],[],[],[],[],['adolf hitler']
36,36,HOF,#Narendra modi u r a hopeless PM... Apne garib ko maar daala...... I hate u.... Sirf aap bol bacchan dete ho karte kuch bhi nhi...... U r fake person,modi u r a hopeless PM... Apne garib ko maar daala...... I hate u.... Sirf aap bol bacchan dete ho karte kuch bhi nhi...... U r fake person,['#Narendra'],[],[],[],[],[],[],[],['narendra']
37,37,NOT,Provinces or Banana to achi baat hay. Magar Pakistani bun Jana to Fakhar ki baat hui na. Baat baat p nafrat. Achi nahi,Provinces or Banana to achi baat hay. Magar Pakistani bun Jana to Fakhar ki baat hui na. Baat baat p nafrat. Achi nahi,[],[],[],[],[],[],[],[],[]
38,38,NOT,Acha tou un per quota system laga? Ya unko punjab say baher nikala jaisay mohajiron ko nikala intr sindh say? Unki industry nationalise hoi? Unko punjabion nay nafrat say pukra jaisay sindhi pukarty thy? Punjab ny unko qabool kia lakin sindhi ny hum ko nahi qabol kia,Acha tou un per quota system laga? Ya unko punjab say baher nikala jaisay mohajiron ko nikala intr sindh say? Unki industry nationalise hoi? Unko punjabion nay nafrat say pukra jaisay sindhi pukarty thy? Punjab ny unko qabool kia lakin sindhi ny hum ko nahi qabol kia,[],[],[],[],[],[],[],[],[]
39,39,NOT,Bhutto Sb juke nahi phansi char gaye...Niazi se kaho mafi nama wapis le kar phansi char jaye phir maanoo or gande message bi chorne pare ge,Bhutto Sb juke nahi phansi char gaye...Niazi se kaho mafi nama wapis le kar phansi char jaye phir maanoo or gande message bi chorne pare ge,[],[],[],[],[],[],[],[],[]
40,40,NOT,Pervez musharraf ...Nawaz shareef ki tarhan haramkhoor choor aur awan ka paisa lotnay wala nahe tha atleast.. Haramkhoor nawaz shareef ko phansi do moto gang k sath,Pervez musharraf ...Nawaz shareef ki tarhan haramkhoor choor aur awan ka paisa lotnay wala nahe tha atleast.. Haramkhoor nawaz shareef ko phansi do moto gang k sath,[],[],[],[],[],[],[],[],[]
41,41,NOT,Jis country me sab se kam rape hote hn wahan ka qanoon laagu hona chahiye india me. Tabhi in darindo ka kuch ilaaj ho sakta hai.,Jis country me sab se kam rape hote hn wahan ka qanoon laagu hona chahiye india me. Tabhi in darindo ka kuch ilaaj ho sakta hai.,[],[],[],[],[],[],[],[],[]
42,42,NOT,Dont hate. You nanhi si jaan. Aur ek tu woh b,Dont hate. You nanhi si jaan. Aur ek tu woh b,[],[],[],[],[],[],[],[],[]
43,43,HOF,mujhe to dono se hi nafrat he. par BJP se mujhe itni nafrat he Zindagi me ise vote nhi dunga. kyonki ye party vote ke laayak hi nhi he.,mujhe to dono se hi nafrat he. par BJP se mujhe itni nafrat he Zindagi me ise vote nhi dunga. kyonki ye party vote ke laayak hi nhi he.,[],[],[],[],[],[],[],[],[]
44,44,NOT,Ye shocked h Kya Lat padi h ise Arshi se jabardast.....Or khana khayegi n zillat ke laddu Salman ne bhijwa diye,Ye shocked h Kya Lat padi h ise Arshi se jabardast.....Or khana khayegi n zillat ke laddu Salman ne bhijwa diye,[],[],[],[],[],[],[],[],[]
45,45,NOT,Haha farzi hatred spreading moron @shaileshgam  blocked me.....,Haha farzi hatred spreading moron blocked me.....,[],[],[],[],['@shaileshgam'],[],[],[],[]
46,46,NOT,ye vidya salman se bhut bdi celebrity h.,ye vidya salman se bhut bdi celebrity h.,[],[],[],[],[],[],[],[],[]
47,47,NOT,Ajkaal to usse achcha kaha jata hai jo dr ahmed ya tarek fatah jaise mahapurusoko dil wo jaan se mante hai..ye nafrat pahelane log apke guru ho sakte mera nahi..mere liye vivekanand jaise sakshiat jo kahete the hindu ya muslim her indians are my brother,Ajkaal to usse achcha kaha jata hai jo dr ahmed ya tarek fatah jaise mahapurusoko dil wo jaan se mante hai..ye nafrat pahelane log apke guru ho sakte mera nahi..mere liye vivekanand jaise sakshiat jo kahete the hindu ya muslim her indians are my brother,[],[],[],[],[],[],[],[],[]
48,48,HOF,"as a akshra i hate hina khan ,,but jaise hi usne is ghar m apne aap ko dikhaya hai ,,i respct her ,,bhai kitna bhi galti karlo bandi apne aapko sahi proof kar deti hai ..waah or jinko footage chaea wo hina hina karte rahte hai ,,hina kis kis ko palegi show m.apni image banao sab","as a akshra i hate hina khan ,,but jaise hi usne is ghar m apne aap ko dikhaya hai ,,i respct her ,,bhai kitna bhi galti karlo bandi apne aapko sahi proof kar deti hai ..waah or jinko footage chaea wo hina hina karte rahte hai ,,hina kis kis ko palegi show m.apni image banao sab",[],[],[],[],[],[],[],[],[]
49,49,HOF,Salman bahut bda chutiya h. ..sirf shilpa ka side leta h.  Kaaaminaaaa....phone pe bhe shilpa se baat kia.   Chutiya.  I hate this biased show ...abe dhang se host kr.    Isbar unfair #LuvTyagi #eyehinakhan #ipriyanksharma,Salman bahut bda chutiya h. ..sirf shilpa ka side leta h. Kaaaminaaaa....phone pe bhe shilpa se baat kia. Chutiya. I hate this biased show ...abe dhang se host kr. Isbar unfair,"['#LuvTyagi', '#eyehinakhan', '#ipriyanksharma']",[],[],[],[],[],[],[],"['luv tyagi', 'eye hina khan', 'i priya n k sharma']"
50,50,HOF,Aayega jab take alia ki shaadi age pass aayegi kyuki alia said 30ki hoote hi won shaadi kargi varun bhi kitna kutta hai Natasha ka shaadi ka spna this alia ke saath shaadi ki baat paaki kar ki hate varun alia sid please career pe focus karo aue alia ke banner se film mat karo,Aayega jab take alia ki shaadi age pass aayegi kyuki alia said ki hoote hi won shaadi kargi varun bhi kitna kutta hai Natasha ka shaadi ka spna this alia ke saath shaadi ki baat paaki kar ki hate varun alia sid please career pe focus karo aue alia ke banner se film mat karo,[],[],[],[],[],[' 30'],[],[],[]
51,51,NOT,"mahajiron se kisi ko bhe nafrat nahe hai,mostly log mohajiron ki tragedy ko samjhte hain.aur ,but altaf husain ne qatal o gharatkar ke mohajir cause ko badnaam kar dia hai.","mahajiron se kisi ko bhe nafrat nahe hai,mostly log mohajiron ki tragedy ko samjhte hain.aur ,but altaf husain ne qatal o gharatkar ke mohajir cause ko badnaam kar dia hai.",[],[],[],[],[],[],[],[],[]
52,52,NOT,Haan hm tilak dekr chhod dete hain jalate nahin hain orton ko ya kisi baba ko rape krne ke liye nahin dete hain,Haan hm tilak dekr chhod dete hain jalate nahin hain orton ko ya kisi baba ko rape krne ke liye nahin dete hain,[],[],[],[],[],[],[],[],[]
53,53,NOT,Pata nahi log kyun rape karte he farziwal ke sarkar me har 1 km par spa khula he aap bhi add kar do rape kam hi jayenge,Pata nahi log kyun rape karte he farziwal ke sarkar me har km par spa khula he aap bhi add kar do rape kam hi jayenge,[],[],[],[],[],[' 1'],[],[],[]
54,54,HOF,"Ye kasisi sacchai Hai RSS wale Bomb banate Hai aur media Raafiya Naaz ko lekar Muslmano ke khilaf zaher ugalta Hai kub Tak aisa chalega,","Ye kasisi sacchai Hai RSS wale Bomb banate Hai aur media Raafiya Naaz ko lekar Muslmano ke khilaf zaher ugalta Hai kub Tak aisa chalega,",[],[],[],[],[],[],[],[],[]
55,55,NOT,apne personal hatred k liye srk ka nam badnam kr rhe hai chutiye...bhakts ko support kaise kr sakta hai koi lolll,apne personal hatred k liye srk ka nam badnam kr rhe hai chutiye...bhakts ko support kaise kr sakta hai koi lolll,[],[],[],[],[],[],[],[],[]
56,56,NOT,Red sy kyunky red tumhe meray khoon ki yaad dilay ga <3,Red sy kyunky red tumhe meray khoon ki yaad dilay ga <3,[],[],[],[],[],[],[],[],[]
57,57,NOT,"is ghar main apko jis insan se nafrat ho samjh lo wo insan nafrat ke layak nahi hai balki izzat ke layak hai ,or jisko dekhke izzat ka dil kare samjh lo wo bahrupiya hai ,,ye is ghar ki khasiyat hai ..3 people are real..sapna akash or hina.baki sab fake or banwti hai. #BB11","is ghar main apko jis insan se nafrat ho samjh lo wo insan nafrat ke layak nahi hai balki izzat ke layak hai ,or jisko dekhke izzat ka dil kare samjh lo wo bahrupiya hai ,,ye is ghar ki khasiyat hai ..3 people are real..sapna akash or hina.baki sab fake or banwti hai.",['#BB11'],[],[],[],[],[],[],[],['bb 11']
58,58,NOT,Ek  Ara ke Bjp ke jila mahamantri  Sh.Dhirendra singh se sare aam Road chaap leader Surendra singh or uske bodyguard Rinku singh murder karne ke udeshye se aa kar maarvkar chala jata hai .or Hamari BJP ke karya karta aise hi baithe hai.kal ye ghatna aap or Hum  .,Ek Ara ke Bjp ke jila mahamantri Sh.Dhirendra singh se sare aam Road chaap leader Surendra singh or uske bodyguard Rinku singh murder karne ke udeshye se aa kar maarvkar chala jata hai .or Hamari BJP ke karya karta aise hi baithe hai.kal ye ghatna aap or Hum .,[],[],[],[],[],[],[],[],[]
59,59,NOT,Pichle 2 month se jio ka net 50K/s se jyada jata bhi nahi hai kuch bhi online dekhe to buffering ke bina sambhav hi nahi hai,Pichle month se jio ka net K/s se jyada jata bhi nahi hai kuch bhi online dekhe to buffering ke bina sambhav hi nahi hai,[],[],[],[],[],"[' 2', ' 50']",[],[],[]
60,60,HOF,4G bolkar 2G ka speed mil raha hai ye sara sar dokha hai .I hate jio,G bolkar G ka speed mil raha hai ye sara sar dokha hai .I hate jio,[],[],[],[],[],"['4', ' 2']",[],[],[]
61,61,HOF,tujhe murder kar dungi main!,tujhe murder kar dungi main!,[],[],[],[],[],[],[],[],[]
62,62,HOF,I hate weddings ye madrchod log 1 ghante se ghar k niche dhol baja rhe h,I hate weddings ye madrchod log ghante se ghar k niche dhol baja rhe h,[],[],[],[],[],[' 1'],[],[],[]
63,63,NOT,Haan khuch log to twtr se v murder kr shakte hain apni ghatiya tweets se aayi,Haan khuch log to twtr se v murder kr shakte hain apni ghatiya tweets se aayi,[],[],[],[],[],[],[],[],[]
64,64,NOT,Humidity ka kam tu mat kar rape hua he bhi ki ni 95%case jhut hote he fashion ban gaya he ye fasal mota kamao tum chutya media ki vajah se,Humidity ka kam tu mat kar rape hua he bhi ki ni %case jhut hote he fashion ban gaya he ye fasal mota kamao tum chutya media ki vajah se,[],[],[],[],[],[' 95'],[],[],[]
65,65,HOF,"Hina apni galti manane ko tayar hi nahi hoti.wo hai kya ki usko itna ghamand hai,sabko bolti hai ye mera class nahi,fake lady,arshi bahut acchi hai is heena se,I hate her","Hina apni galti manane ko tayar hi nahi hoti.wo hai kya ki usko itna ghamand hai,sabko bolti hai ye mera class nahi,fake lady,arshi bahut acchi hai is heena se,I hate her",[],[],[],[],[],[],[],[],[]
66,66,HOF,Jis par nitiyo he wahi janta he ye media bhenchod rape rape chillata he sach kutch or hota he isiliye.Aropi ladki jhute fasa deti he 95%forg,Jis par nitiyo he wahi janta he ye media bhenchod rape rape chillata he sach kutch or hota he isiliye.Aropi ladki jhute fasa deti he %forg,[],[],[],[],[],[' 95'],[],[],[]
67,67,NOT,"Chatukarta ke baare me to Maine Suna hai BJP ne ab tak ke saare record tor diye lab ke. Ab to Pehchaan hi yahi hai DOOSRI buri zubaan, gaaliyan aur sachchayee, imaandaari aur aqal se nafrat.","Chatukarta ke baare me to Maine Suna hai BJP ne ab tak ke saare record tor diye lab ke. Ab to Pehchaan hi yahi hai DOOSRI buri zubaan, gaaliyan aur sachchayee, imaandaari aur aqal se nafrat.",[],[],[],[],[],[],[],[],[]
68,68,NOT,Saheb 60 sal.Kyabhutta. bun rahe tha or. Kabhi cort nahi gaye ho pahle pata karo rape ke 95%case forge hote he tum jaise media kanon banwaya,Saheb sal.Kyabhutta. bun rahe tha or. Kabhi cort nahi gaye ho pahle pata karo rape ke %case forge hote he tum jaise media kanon banwaya,[],[],[],[],[],"[' 60', ' 95']",[],[],[]
69,69,HOF,lol true kuy ki uski jo awwam haina jo is duniya se bhaar jaha se jaadu aaya tha vha ke log aise krte hai aur khud buddhi hai aur dusro ko bolti kitna makeup krti hai khud asli pic dekh legi na jiss deen khud se nafrat krne lagi arshi,lol true kuy ki uski jo awwam haina jo is duniya se bhaar jaha se jaadu aaya tha vha ke log aise krte hai aur khud buddhi hai aur dusro ko bolti kitna makeup krti hai khud asli pic dekh legi na jiss deen khud se nafrat krne lagi arshi,[],[],[],[],[],[],[],[],[]
70,70,NOT,@JioCare mere aria me jio ka speed 50K/s se jyada  milta hi nahi hai .Aisa sambhav hi nahi hai ki bina buffering ka koi video online dekh le,mere aria me jio ka speed K/s se jyada milta hi nahi hai .Aisa sambhav hi nahi hai ki bina buffering ka koi video online dekh le,[],[],[],[],['@JioCare'],[' 50'],[],[],[]
71,71,NOT,4G ke naam par 2G mil raha kai,G ke naam par G mil raha kai,[],[],[],[],[],"['4', ' 2']",[],[],[]
72,72,NOT,Aisa hi raha to recharge samapt hone ke baad jio chor kar kisi aur me chale jayege,Aisa hi raha to recharge samapt hone ke baad jio chor kar kisi aur me chale jayege,[],[],[],[],[],[],[],[],[]
73,73,NOT,"Sanitary Napkin bhi sasti ho gayi Pahan le , Bahut khoon fek raha tum logo ki dukan se","Sanitary Napkin bhi sasti ho gayi Pahan le , Bahut khoon fek raha tum logo ki dukan se",[],[],[],[],[],[],[],[],[]
74,74,NOT,Aaj to Salman bhi chupke se bol Gaye k I hate Hina and agree with #Arshi fir bhi Hina k andhe bhakto ko dhik nhi raha,Aaj to Salman bhi chupke se bol Gaye k I hate Hina and agree with fir bhi Hina k andhe bhakto ko dhik nhi raha,['#Arshi'],[],[],[],[],[],[],[],['arshi']
75,75,NOT,"Sabhi jagah to media wale nafrat or jhgde to faila hi rhe hai ,ab logo k ghar me v suru ho gye","Sabhi jagah to media wale nafrat or jhgde to faila hi rhe hai ,ab logo k ghar me v suru ho gye",[],[],[],[],[],[],[],[],[]
76,76,NOT,30 saal Punjab ki awam ka khoon choosnay walay Sharif brothers aaj Tak saverage ka nizam theak nai kar sakay..,saal Punjab ki awam ka khoon choosnay walay Sharif brothers aaj Tak saverage ka nizam theak nai kar sakay..,[],[],[],[],[],['30'],[],[],[]
77,77,HOF,#Hina ko main dekhna or Soonna pasand Nahi karta I hate #HinaKhan,ko main dekhna or Soonna pasand Nahi karta I hate,"['#Hina', '#HinaKhan']",[],[],[],[],[],[],[],"['hina', 'hina khan']"
78,78,HOF,Tujhe nafrat hoti hai na pando se.. Tu bhi pandi hi hai.. Ek kaam kr.. Ek baap ki aulaad hai to ek dalit se shadi krio. Dekhte hain ki tujhe sirf yahan publicity chahiye ya tu sacchi h.. Mai ek dalit se pyar krta hu aur shadi bhi krunga usise.,Tujhe nafrat hoti hai na pando se.. Tu bhi pandi hi hai.. Ek kaam kr.. Ek baap ki aulaad hai to ek dalit se shadi krio. Dekhte hain ki tujhe sirf yahan publicity chahiye ya tu sacchi h.. Mai ek dalit se pyar krta hu aur shadi bhi krunga usise.,[],[],[],[],[],[],[],[],[]
79,79,HOF,What's wrong with Sapna... Samjhti kya hai... After Hina I hate her... Kitna attitude hai... Karna kuch nahi hai bas bakwas karni hai.... #BB11,What's wrong with Sapna... Samjhti kya hai... After Hina I hate her... Kitna attitude hai... Karna kuch nahi hai bas bakwas karni hai....,['#BB11'],[],[],[],[],[],[],[],['bb 11']
80,80,NOT,Har election ke pahiley Janta ke samne kuch tukde fenk diye hate hain,Har election ke pahiley Janta ke samne kuch tukde fenk diye hate hain,[],[],[],[],[],[],[],[],[]
81,81,HOF,Mera Khoon khaula tha q ki wo movie Boycott Khan ki wajah se hui thi aur Ye Rajpoot ki wajah se...,Mera Khoon khaula tha q ki wo movie Boycott Khan ki wajah se hui thi aur Ye Rajpoot ki wajah se...,[],[],[],[],[],[],[],[],[]
82,82,HOF,I hate this Sapna so much  itna ghamand kisliye bhai?,I hate this Sapna so much itna ghamand kisliye bhai?,[],[],[],[],[],[],[],[],[]
